lat,lon,pga_475_median,pga_475_84,pga_475_mean,pga_975_median,pga_975_84,pga_975_mean,pga_2475_median,pga_2475_84,pga_2475_mean
47.7,11.5,0.4144,0.655,0.4798,0.6043,0.9524,0.7145,0.9542,1.4649,1.1334
47.7,11.6,0.4144,0.655,0.4872,0.6172,0.9855,0.724,0.9718,1.4979,1.1457
47.7,11.7,0.4144,0.6799,0.4971,0.6172,0.987,0.7373,0.9718,1.5118,1.1642
47.7,11.8,0.4145,0.68,0.5038,0.6172,1.02,0.7491,1.0034,1.5601,1.1844
47.7,11.9,0.431,0.7059,0.5134,0.6407,1.0372,0.7661,1.0335,1.6021,1.2135
47.7,12,0.4443,0.7312,0.5207,0.6651,1.0555,0.7815,1.0659,1.6473,1.2446
47.7,12.1,0.4443,0.7348,0.5265,0.6652,1.0909,0.7942,1.0691,1.7026,1.2719
47.7,12.2,0.4443,0.7348,0.5268,0.6652,1.0908,0.7939,1.069,1.7025,1.2717
47.7,12.3,0.4258,0.7056,0.5033,0.6408,1.0212,0.7547,1.035,1.5938,1.2056
47.7,12.4,0.4144,0.6551,0.4806,0.6172,0.9526,0.7216,1.0036,1.5221,1.1531
47.7,12.5,0.4144,0.6525,0.4778,0.6172,0.9525,0.7219,1.0358,1.522,1.1641
47.7,12.6,0.4257,0.6774,0.4866,0.6407,1.022,0.7432,1.0723,1.6309,1.2168
47.7,12.7,0.4258,0.6775,0.4867,0.6408,1.0222,0.7459,1.0725,1.6314,1.2277
47.7,12.8,0.4373,0.7063,0.4945,0.6631,1.0615,0.7611,1.1058,1.736,1.2593
47.7,12.9,0.4442,0.7644,0.5159,0.6892,1.1416,0.8002,1.1419,1.8672,1.3294
47.7,13,0.4519,0.7644,0.5184,0.6899,1.1417,0.804,1.1456,1.8674,1.3365
47.7,13.1,0.4636,0.7644,0.5203,0.6904,1.1417,0.8067,1.1456,1.8673,1.3409
47.8,7.4,0.7393,1.0845,0.8293,1.1342,1.5856,1.2431,1.81,2.5441,2.027
47.8,7.5,0.773,1.1666,0.8903,1.1742,1.7055,1.3242,1.8738,2.7217,2.1439
47.8,7.6,0.773,1.2099,0.8975,1.1742,1.7689,1.3325,1.8739,2.7424,2.1544
47.8,7.7,0.7392,1.1666,0.8576,1.1342,1.7055,1.2769,1.8099,2.6581,2.0718
47.8,7.8,0.6744,1.0457,0.7809,1.0223,1.5287,1.1627,1.6313,2.4206,1.8707
47.8,7.9,0.5972,0.932,0.701,0.9105,1.3592,1.0453,1.4702,2.1703,1.6633
47.8,8,0.549,0.8609,0.6342,0.8258,1.2584,0.9514,1.325,2.0073,1.5144
47.8,8.1,0.5047,0.7954,0.5897,0.769,1.1742,0.8864,1.2363,1.8737,1.4187
47.8,8.2,0.4837,0.7609,0.5587,0.742,1.1118,0.8402,1.175,1.7541,1.3479
47.8,8.3,0.4636,0.7329,0.5404,0.7034,1.0748,0.8125,1.1238,1.6957,1.3035
47.8,8.4,0.4519,0.7062,0.5308,0.6899,1.0554,0.7972,1.1084,1.6471,1.2778
47.8,8.5,0.4635,0.7059,0.5276,0.6904,1.0381,0.7895,1.0881,1.6201,1.2606
47.8,8.6,0.4556,0.7056,0.5295,0.6899,1.0212,0.79,1.0985,1.5936,1.2559
47.8,8.7,0.4635,0.7056,0.5366,0.6904,1.0212,0.7985,1.0985,1.5937,1.2646
47.8,8.8,0.4663,0.7312,0.5455,0.6905,1.0554,0.8101,1.1033,1.6471,1.2795
47.8,8.9,0.4837,0.7348,0.5531,0.716,1.0865,0.82,1.1321,1.6617,1.2907
47.8,9,0.4663,0.7549,0.5551,0.7036,1.0712,0.8217,1.1385,1.6546,1.2901
47.8,9.1,0.4663,0.7312,0.5498,0.7032,1.0528,0.8122,1.1033,1.6102,1.272
47.8,9.2,0.4636,0.7182,0.5361,0.6905,1.0355,0.7904,1.0942,1.5688,1.2353
47.8,9.3,0.4443,0.68,0.5149,0.6652,0.987,0.7591,1.0631,1.5118,1.188
47.8,9.4,0.4258,0.655,0.4891,0.6407,0.9523,0.7233,1.0035,1.4408,1.1367
47.8,9.5,0.3985,0.6078,0.4571,0.5946,0.8868,0.6784,0.969,1.3754,1.0736
47.8,9.6,0.3684,0.564,0.4224,0.5517,0.8257,0.6259,0.8817,1.2914,0.9975
47.8,9.7,0.35,0.521,0.3891,0.5113,0.742,0.5741,0.8078,1.175,0.911
47.8,9.8,0.3236,0.4849,0.3599,0.4613,0.6914,0.5273,0.7455,1.0675,0.8284
47.8,9.9,0.3023,0.4518,0.3381,0.4309,0.6464,0.492,0.6796,1.0036,0.7678
47.8,10,0.2915,0.4356,0.3217,0.408,0.625,0.4649,0.6353,0.9718,0.726
47.8,10.1,0.281,0.42,0.3116,0.3952,0.6043,0.4489,0.6143,0.9408,0.7024
47.8,10.2,0.272,0.42,0.3064,0.389,0.6043,0.4418,0.6029,0.9408,0.6929
47.8,10.3,0.2708,0.42,0.3055,0.3891,0.5989,0.4418,0.6029,0.9381,0.6958
47.8,10.4,0.2731,0.42,0.3074,0.3891,0.6043,0.4466,0.6143,0.9409,0.7065
47.8,10.5,0.2731,0.42,0.3114,0.3964,0.6172,0.4551,0.6281,0.9718,0.7224
47.8,10.6,0.281,0.4334,0.3175,0.4111,0.6407,0.4664,0.641,1.0038,0.7421
47.8,10.7,0.2856,0.4356,0.3228,0.4139,0.6407,0.4759,0.6571,1.0343,0.7583
47.8,10.8,0.2915,0.4357,0.3271,0.4264,0.6502,0.4834,0.6796,1.0351,0.7701
47.8,10.9,0.2915,0.4483,0.3312,0.4264,0.6652,0.4897,0.6796,1.036,0.779
47.8,11,0.2915,0.4519,0.3342,0.4264,0.6652,0.494,0.6906,1.0645,0.7845
47.8,11.1,0.3023,0.4663,0.3366,0.4309,0.6686,0.497,0.6796,1.036,0.7876
47.8,11.2,0.3023,0.4663,0.3384,0.4309,0.6905,0.4989,0.6796,1.0659,0.7892
47.8,11.3,0.2916,0.4663,0.3407,0.4264,0.6789,0.5018,0.6796,1.0344,0.7925
47.8,11.4,0.3023,0.4663,0.3433,0.4309,0.6789,0.5052,0.6796,1.0632,0.7969
47.8,11.5,0.3023,0.4687,0.3474,0.4309,0.6687,0.5106,0.6796,1.0646,0.804
47.8,11.6,0.3023,0.485,0.3531,0.431,0.6915,0.5185,0.6796,1.0632,0.815
47.8,11.7,0.3025,0.4861,0.3569,0.4422,0.7133,0.5246,0.6815,1.0661,0.8244
47.8,11.8,0.3127,0.4861,0.3605,0.4459,0.7146,0.5308,0.6916,1.0944,0.8352
47.8,11.9,0.3137,0.504,0.3669,0.4586,0.7275,0.5411,0.7028,1.1264,0.8528
47.8,12,0.3137,0.521,0.3741,0.4587,0.742,0.5528,0.7237,1.1593,0.8735
47.8,12.1,0.3137,0.5234,0.3792,0.4587,0.7624,0.5609,0.7259,1.1669,0.8877
47.8,12.2,0.3253,0.5433,0.3856,0.4757,0.7875,0.5712,0.7259,1.2025,0.9051
47.8,12.3,0.3253,0.5433,0.392,0.4757,0.7875,0.5804,0.7259,1.2025,0.919
47.8,12.4,0.3137,0.5234,0.377,0.4587,0.7623,0.5585,0.7259,1.1668,0.8856
47.8,12.5,0.3137,0.521,0.3727,0.4587,0.742,0.5543,0.7498,1.1669,0.8838
